case_id,location,date,structure_type,soil_type,depth_m,span_m,failure_mode,triggering_factor,max_settlement_mm,max_horizontal_displacement_mm,ground_loss_%,damage_severity,casualties,economic_loss_million_USD,recovery_time_days,water_table_depth_m,overburden_pressure_kPa,support_system_type,lining_thickness_mm,grouting_performed
CS001,Shanghai_Metro_Line4,2003-07-01,Metro_Tunnel,Soft_Clay,16.5,6.2,Collapse,Dewatering,485,325,8.5,Catastrophic,0,125.5,180,2.5,285,Steel_ribs_shotcrete,250,No
CS002,Singapore_Circle_Line,2004-04-20,Metro_Tunnel,Marine_Clay,20.8,6.0,Large_Deformation,Excavation,225,185,4.2,Severe,0,45.8,90,3.0,375,Segmental_lining,300,Yes
CS003,Heathrow_Express,1994-10-21,Railway_Tunnel,London_Clay,25.5,8.5,Collapse,Construction_error,650,425,12.5,Catastrophic,0,185.2,240,5.5,485,NATM,350,No
CS004,Boston_Big_Dig,2006-07-10,Highway_Tunnel,Blue_Clay,18.2,12.5,Ceiling_Collapse,Material_failure,125,85,2.8,Severe,1,285.5,120,4.2,345,Cast_in_place,450,Yes
CS005,Tokyo_Bay_Tunnel,1995-03-20,Utility_Tunnel,Liquefiable_Sand,12.5,4.5,Liquefaction_Uplift,Earthquake,385,525,6.8,Severe,0,92.5,150,1.5,225,Sheet_pile,200,No
CS006,San_Francisco_BART,1989-10-17,Metro_Tunnel,Sandy_Fill,15.8,5.8,Liquefaction,Earthquake,425,385,7.5,Severe,0,155.8,210,2.0,285,Segmental_lining,275,Yes
CS007,Mexico_City_Metro,1985-09-19,Metro_Tunnel,Soft_Clay,22.5,6.5,Differential_Settlement,Earthquake,825,485,15.8,Catastrophic,15,325.5,365,3.5,425,Steel_ribs,300,No
CS008,Bangkok_MRT,2008-08-15,Metro_Tunnel,Soft_Clay,18.8,6.0,Excessive_Settlement,Groundwater_drawdown,325,225,5.5,Moderate,0,38.5,75,2.8,355,TBM_segments,325,Yes
CS009,Cairo_Metro,2009-03-12,Metro_Tunnel,Nile_Clay,14.5,5.5,Face_Instability,Groundwater_inflow,285,195,4.8,Moderate,0,28.8,60,3.2,275,Shotcrete,225,Yes
CS010,Athens_Metro,2003-11-20,Metro_Tunnel,Marl,28.5,6.8,Rock_burst,High_stress,125,95,2.2,Moderate,2,42.5,45,8.5,545,Rock_bolts_mesh,175,Yes
CS011,Munich_U-Bahn,1994-06-15,Metro_Tunnel,Gravel,10.5,5.2,Ground_Loss,Boring_machine_issue,185,125,3.5,Moderate,0,22.5,35,2.0,195,Precast_segments,250,No
CS012,Paris_RER,1995-02-28,Railway_Tunnel,Limestone,32.5,7.5,Cavity_Collapse,Karst_void,425,285,8.2,Severe,0,68.5,95,6.5,625,Cast_concrete,400,Yes
CS013,Seoul_Subway,2012-05-15,Metro_Tunnel,Weathered_Granite,24.8,6.2,Water_Inrush,Heavy_rainfall,285,165,4.5,Moderate,0,32.5,55,4.5,475,Waterproof_membrane,275,Yes
CS014,Hong_Kong_MTR,2018-10-25,Metro_Tunnel,Decomposed_Granite,30.5,7.0,Platform_Settlement,Construction_vibration,95,65,1.8,Minor,0,15.8,25,5.8,585,Double_shell,350,Yes
CS015,London_Crossrail,2015-08-12,Railway_Tunnel,London_Clay,35.8,6.5,Convergence_Excess,Stress_relaxation,165,115,3.2,Moderate,0,28.5,40,7.2,685,Sprayed_concrete,300,Yes
CS016,New_York_2nd_Ave,2016-03-20,Metro_Tunnel,Glacial_Till,22.2,5.8,Sidewall_Failure,Blast_damage,225,155,4.2,Moderate,0,35.8,50,4.8,425,Rock_support,275,No
CS017,Amsterdam_Noord_Zuid,2008-06-20,Metro_Tunnel,Peat_Clay,12.8,5.5,Excessive_Deformation,Soil_creep,385,265,6.5,Severe,0,52.5,85,1.8,245,Diaphragm_wall,325,Yes
CS018,Moscow_Metro,2012-11-15,Metro_Tunnel,Jurassic_Clay,45.5,6.8,High_Convergence,Swelling_clay,285,185,5.2,Moderate,0,42.8,65,8.5,885,Steel_sets,350,Yes
CS019,Istanbul_Marmaray,2010-09-10,Railway_Tunnel,Trakya_Formation,38.5,8.2,Seismic_Damage,Earthquake,325,425,7.8,Severe,0,125.5,145,6.5,745,Composite_lining,400,Yes
CS020,Taipei_MRT,1999-09-21,Metro_Tunnel,Alluvial_Deposits,18.5,6.0,Liquefaction,Earthquake,485,585,9.5,Catastrophic,3,185.8,220,2.5,355,Shield_segments,300,No
