measure_id,measure_name,maintenance_schedule_type,maintenance_frequency_years,routine_maintenance_cost_usd_per_year,major_maintenance_interval_years,major_maintenance_cost_usd,expected_replacement_year,degradation_type,degradation_rate_percent_per_year,performance_warranty_years,labor_hours_per_maintenance,required_certifications,downtime_hours_per_maintenance,failure_rate_percent_per_year,emergency_repair_cost_usd,reliability_score,maintainability_score,criticality_level,spare_parts_cost_usd_per_year,monitoring_requirements,inspection_frequency_years,regulatory_compliance_required,environmental_conditions_sensitivity
RM001,Exterior Wall Insulation - 4in Polyiso,Periodic Inspection,5,0,15,450,30,Linear,0.5,25,4,None,0,0.2,1200,0.95,0.88,Low,0,Visual inspection,5,Building code compliance,Moisture sensitivity - moderate
RM002,Exterior Wall Insulation - 6in Polyiso,Periodic Inspection,5,0,15,680,30,Linear,0.5,25,6,None,0,0.2,1800,0.95,0.88,Low,0,Visual inspection,5,Building code compliance,Moisture sensitivity - moderate
RM003,Exterior Wall Insulation - Mineral Wool 5in,Periodic Inspection,5,0,20,550,40,Linear,0.3,30,5,None,0,0.1,1400,0.97,0.90,Low,0,Visual inspection,5,Building code compliance,Fire resistant; moisture tolerant
RM004,Roof Insulation - 6in Polyiso,Annual Inspection,1,120,10,850,30,Linear,0.8,20,3,None,0,0.5,2200,0.92,0.85,Medium,50,Annual roof inspection,1,Building code compliance,UV and moisture sensitive
RM005,Roof Insulation - 8in Spray Foam,Periodic Inspection,3,0,15,1200,25,Linear,1.0,15,6,Spray foam certified,0,0.3,2800,0.90,0.78,Medium,0,Visual inspection,3,Building code compliance,Temperature sensitive during install
RM006,Triple-Pane Window Replacement,Annual Inspection,1,85,10,1200,25,S-Curve,0.3,20,2,None,0,0.8,850,0.88,0.82,Medium,35,Seal integrity check,1,Energy code compliance,Seal degradation in extreme temps
RM007,Double-Pane Low-E Window Replacement,Annual Inspection,1,65,10,950,25,S-Curve,0.4,20,2,None,0,1.0,650,0.86,0.80,Medium,28,Seal integrity check,1,Energy code compliance,Seal degradation in extreme temps
RM008,Window Film Application,Annual Inspection,1,45,5,280,15,Exponential,2.5,10,1,None,0,1.5,180,0.75,0.92,Low,15,Visual inspection,1,None,UV degradation; adhesive failure
RM009,Air Source Heat Pump - High Efficiency,Quarterly,0.25,420,5,2850,18,S-Curve,1.2,10,8,HVAC certified,4,2.5,3500,0.82,0.75,High,285,Filter change; refrigerant check,0.25,EPA Section 608,Extreme temp performance loss
RM010,Ground Source Heat Pump,Semi-Annual,0.5,650,7,4200,25,S-Curve,0.8,12,12,HVAC certified; geothermal,6,1.8,5500,0.88,0.72,High,425,Loop pressure; fluid quality,0.5,EPA regulations,Ground loop integrity critical
RM011,Variable Refrigerant Flow (VRF) System,Quarterly,0.25,580,5,3500,20,S-Curve,1.0,10,10,HVAC certified; VRF trained,5,2.2,4200,0.85,0.73,High,350,Refrigerant levels; control checks,0.25,EPA Section 608,Complex controls; refrigerant leaks
RM012,High-Efficiency Condensing Boiler,Annual,1,480,5,1850,20,S-Curve,1.5,8,6,Boiler certified,8,2.8,2800,0.84,0.78,High,220,Combustion analysis; water quality,1,ASME; local codes,Water quality critical
RM013,Combined Heat and Power (CHP) Unit,Monthly,0.083,1850,2,8500,20,Linear,2.0,5,24,CHP certified; gas technician,12,3.5,12000,0.78,0.68,Critical,950,Continuous monitoring required,0.083,EPA; utility interconnection,High maintenance complexity
RM014,Dedicated Outdoor Air System (DOAS),Quarterly,0.25,385,5,1850,20,S-Curve,1.2,10,6,HVAC certified,4,2.0,2500,0.86,0.80,High,185,Filter change; ERV maintenance,0.25,Building code; IAQ,Filter loading critical
RM015,Energy Recovery Ventilator (ERV),Quarterly,0.25,220,5,850,18,S-Curve,1.5,10,4,HVAC certified,3,2.2,1200,0.85,0.85,Medium,95,Core cleaning; filter change,0.25,Building code; IAQ,Frosting in cold climates
RM016,Demand Controlled Ventilation (DCV),Annual,1,180,3,450,15,Linear,1.0,8,3,Controls technician,2,1.8,850,0.88,0.82,Medium,85,Sensor calibration,1,Building code; IAQ,Sensor drift over time
RM017,Advanced Thermostat Controls,Annual,1,65,5,120,10,Linear,0.5,5,1,None,1,1.2,180,0.90,0.95,Low,22,Battery replacement; connectivity,1,None,Software updates required
RM018,Solar PV System - 10kW,Annual,1,285,5,850,30,Linear,0.5,25,6,Solar certified,0,0.8,1500,0.92,0.88,Medium,125,Performance monitoring; cleaning,1,Electrical code; utility interconnect,Panel soiling; inverter heat
RM019,Solar PV System - 50kW,Annual,1,850,5,2850,30,Linear,0.5,25,12,Solar certified,0,0.8,5500,0.92,0.88,Medium,485,Performance monitoring; cleaning,1,Electrical code; utility interconnect,Panel soiling; inverter heat
RM020,Solar PV System - 100kW,Annual,1,1580,5,5200,30,Linear,0.5,25,20,Solar certified,0,0.8,9500,0.92,0.88,High,850,Performance monitoring; cleaning,1,Electrical code; utility interconnect,Panel soiling; inverter heat
RM021,Solar PV with Battery Storage - 10kWh,Quarterly,0.25,385,3,1850,15,S-Curve,2.5,10,4,Battery certified; electrical,2,3.0,3500,0.80,0.75,High,285,Battery management system,0.25,Electrical code; fire code,Thermal management critical
RM022,Solar Thermal Hot Water System,Annual,1,320,5,1200,25,S-Curve,1.2,15,8,Solar thermal certified,4,2.0,2200,0.85,0.78,Medium,150,Glycol fluid; pressure check,1,Plumbing code,Freeze protection; overheating
RM023,Building-Integrated Photovoltaics (BIPV),Annual,1,650,7,2500,35,Linear,0.5,25,10,Solar certified; façade,0,0.6,3500,0.90,0.72,Medium,285,Performance monitoring; access,1,Building code; electrical code,Difficult access for maintenance
RM024,LED Lighting Retrofit - Complete,Periodic,3,85,10,650,15,Exponential,2.0,10,4,Electrician,2,1.5,450,0.88,0.90,Low,35,Lumen maintenance monitoring,3,Electrical code,Thermal management affects life
RM025,Lighting Controls - Occupancy Sensors,Annual,1,125,5,350,12,Linear,1.0,8,3,Electrician,2,2.0,420,0.85,0.85,Low,55,Sensor calibration,1,Building code,False triggering; coverage gaps
RM026,Circadian Lighting System,Annual,1,280,5,850,15,Linear,1.2,8,6,Electrician; controls,3,2.5,1200,0.82,0.78,Low,125,Software updates; tuning,1,Building code,Complex commissioning
RM027,Air Sealing - Comprehensive,Periodic Inspection,10,0,15,650,20,Linear,1.5,10,0,None,0,0.5,850,0.92,0.95,Low,0,Blower door retest,10,Building code,Settlement; building movement
RM028,Blower Door Testing & Commissioning,One-time,999,0,999,0,999,None,0,1,0,Certified tester,4,0,0,1.00,1.00,Low,0,N/A,999,Building code,N/A
RM029,Cool Roof Coating,Annual Inspection,1,95,5,580,15,Exponential,3.0,10,2,Roofing contractor,0,1.2,850,0.85,0.88,Low,45,Albedo measurement,1,Building code,UV degradation; soiling
RM030,Green Roof System - Extensive,Quarterly,0.25,850,5,2500,40,Linear,0.5,10,12,Horticulturalist; roofer,0,1.0,3500,0.88,0.72,Medium,485,Vegetation health; drainage,0.25,Building code; environmental,Irrigation; plant selection
RM031,Green Roof System - Intensive,Monthly,0.083,1850,5,5500,40,Linear,0.5,10,24,Horticulturalist; roofer,0,1.2,6500,0.85,0.68,Medium,950,Vegetation health; drainage; irrigation,0.083,Building code; environmental,High maintenance complexity
RM032,Heat Pump Water Heater,Annual,1,185,5,650,15,S-Curve,1.8,10,4,Plumber; HVAC,3,2.5,1200,0.84,0.80,Medium,85,Filter; anode rod; refrigerant,1,Plumbing code,Ambient temp affects efficiency
RM033,Condensing Tank Water Heater,Annual,1,220,5,850,15,S-Curve,2.0,8,4,Plumber; gas technician,4,2.8,1500,0.82,0.78,Medium,95,Combustion; anode rod; venting,1,Plumbing code; gas code,Water quality; combustion air
RM034,Tankless Water Heater,Annual,1,285,3,650,20,S-Curve,1.5,10,5,Plumber; gas technician,4,2.2,1800,0.86,0.75,Medium,125,Descaling; combustion; venting,1,Plumbing code; gas code,Hard water scaling critical
