Test_ID,Sample_Type,Location,Depth_m,Test_Type,Shear_Strength_kPa,Friction_Angle_degrees,Cohesion_kPa,Youngs_Modulus_MPa,Poissons_Ratio,Bulk_Modulus_MPa,Shear_Modulus_MPa,Compression_Index,Swell_Index,Permeability_Coefficient_m_s,Consolidation_Coefficient_m2_yr,Cyclic_Resistance_Ratio,Damping_Ratio_percent,Small_Strain_Shear_Modulus_MPa,Degradation_Index,Remarks
MP001,Sandy_Soil,Heihe_Basin,3.5,Triaxial_CD,NA,34.5,0.8,45.2,0.28,35.5,17.7,NA,NA,4.2e-4,NA,0.165,5.8,95.5,0.78,Dense medium sand
MP002,Sandy_Soil,Shanghai_Coast,5.0,Triaxial_CU,NA,31.2,1.5,32.5,0.32,28.8,12.3,NA,NA,2.8e-4,NA,0.128,7.2,68.5,0.65,Loose silty sand
MP003,Clay_Soil,Yangtze_Delta,4.0,Triaxial_UU,42.5,NA,NA,8.5,0.45,18.2,2.9,0.35,0.06,2.3e-9,1.85,NA,12.5,24.5,NA,Soft clay high sensitivity
MP004,Clay_Soil,Beijing_Plain,3.0,Direct_Shear,NA,18.5,32.5,12.8,0.42,15.5,4.5,0.26,0.04,4.1e-9,2.45,NA,9.8,32.8,NA,Stiff clay moderate plasticity
MP005,Sandy_Soil,Tianjin_Harbor,4.2,Cyclic_Triaxial,NA,32.8,1.2,38.8,0.30,32.5,14.9,NA,NA,3.5e-4,NA,0.142,6.5,82.5,0.72,Medium dense sand
MP006,Clay_Soil,Shanghai_Coastal,8.5,Oedometer,28.5,NA,NA,5.2,0.48,12.5,1.8,0.48,0.08,1.2e-9,1.25,NA,15.2,18.5,NA,Very soft clay smectite
MP007,Sandy_Soil,Ningxia_Desert,2.0,Triaxial_CD,NA,37.8,0.2,58.5,0.26,42.8,23.2,NA,NA,5.8e-4,NA,0.195,4.5,125.8,0.85,Very dense coarse sand
MP008,Clay_Soil,Pearl_River_Delta,5.5,Triaxial_CU,38.2,12.5,18.5,9.8,0.44,17.5,3.4,0.32,0.05,2.8e-9,1.95,NA,11.5,28.5,NA,Medium sensitivity clay
MP009,Sandy_Soil,Beijing_Suburban,3.8,Resonant_Column,NA,35.2,0.5,48.5,0.27,38.5,19.1,NA,NA,4.5e-4,NA,0.178,5.2,102.5,0.80,Dense fine to medium sand
MP010,Clay_Soil,Tianjin_Harbor,6.0,Vane_Shear,32.8,NA,NA,7.2,0.46,14.8,2.5,0.38,0.07,1.8e-9,1.55,NA,13.8,22.5,NA,Sensitive soft clay
MP011,Sandy_Soil,Yangtze_Delta,4.5,Simple_Shear,NA,33.5,1.0,42.5,0.29,35.2,16.5,NA,NA,3.8e-4,NA,0.152,6.2,88.5,0.75,Medium dense silty sand
