Case_ID,Event_Name,Location,Date,Failure_Type,Clay_Type,Clay_Mineral_Primary,Plasticity_Index,Liquid_Limit_percent,Natural_Water_Content_percent,Undrained_Shear_Strength_kPa,Sensitivity,Depth_to_Failure_Surface_m,Slip_Surface_Depth_Range_m,Slope_Angle_degrees,Groundwater_Depth_m,Pore_Pressure_Ratio,Structure_Type,Foundation_Type,Foundation_Depth_m,Failure_Trigger,Displacement_m,Tilt_degrees,Structure_Damage_Level,Preconsolidation_Stress_kPa,OCR,Compression_Index,Consolidation_Settlement_cm,Progressive_Failure,Remediation_Method,Remarks
CF001,Diezma_Landslide_Type,Gansu_Mountain_Slope,2015-08-15,Slope_Failure,Soft_Clay,Montmorillonite,42.5,68.2,48.5,25.8,5.2,8.5,8.5-15.0,28.5,3.2,0.62,Highway_Embankment,Shallow_Foundation,2.0,Heavy_Rainfall,12.5,NA,Severe,195.0,3.8,0.52,NA,Yes,Soil_Nailing,Circular slip surface observed
CF002,Retaining_Wall_Failure,Shanghai_Excavation,2016-03-22,Excavation_Collapse,Sensitive_Clay,Montmorillonite-Smectite,47.8,76.5,52.3,20.5,6.8,12.0,10.0-18.5,NA,2.5,0.68,Deep_Excavation,Diaphragm_Wall,15.0,Dewatering,8.5,NA,Severe,225.0,4.2,0.58,85.0,Yes,Emergency_Struts,Excessive deformation led to collapse
CF003,Building_Settlement,Beijing_Residential,2016-11-08,Bearing_Capacity,Stiff_Clay,Illite,19.5,42.8,32.5,68.5,2.2,NA,NA,NA,8.5,0.35,Apartment_Building,Pile_Foundation,12.0,Long_Term_Loading,0.45,2.8,Moderate,158.0,2.1,0.26,52.0,No,Underpinning,Differential settlement pattern
CF004,Tunnel_Crown_Collapse,Guangzhou_Metro,2017-05-12,Tunnel_Instability,Soft_Clay,Montmorillonite-Illite,38.5,62.8,44.8,28.5,4.5,8.0,6.0-12.5,NA,1.8,0.58,Shield_Tunnel,TBM_Tunnel,18.0,Face_Instability,2.8,NA,Severe,185.0,3.4,0.46,NA,Yes,Grouting,Ground loss at tunnel face
CF005,Landslide_Event,Sichuan_Highway,2017-09-25,Slope_Failure,Highly_Plastic_Clay,Smectite,51.2,82.5,58.2,18.2,7.5,10.5,9.0-18.0,32.0,2.2,0.72,Road_Cut,NA,NA,Seepage,18.5,NA,Complete,238.0,4.8,0.65,NA,Yes,Drainage_System,Multiple slip surfaces identified
CF006,Foundation_Failure,Tianjin_Industrial,2018-02-14,Punching_Shear,Medium_Clay,Illite-Montmorillonite,28.5,54.2,38.8,45.5,3.2,NA,NA,NA,4.5,0.45,Warehouse,Mat_Foundation,3.5,Concentrated_Load,0.85,4.5,Severe,172.0,2.8,0.36,68.0,No,Load_Reduction,Local bearing failure
CF007,Embankment_Sliding,Yangtze_River_Levee,2018-07-03,Slope_Failure,Soft_Clay,Montmorillonite,44.8,72.5,50.5,22.8,5.8,7.5,7.0-14.0,25.5,1.5,0.65,Flood_Protection,Shallow_Foundation,2.5,Rapid_Drawdown,15.8,NA,Severe,208.0,4.0,0.55,NA,Yes,Berm_Construction,Sudden water level drop
CF008,Deep_Excavation,Hangzhou_Station,2018-11-18,Bottom_Heave,Very_Soft_Clay,Montmorillonite-Smectite,52.5,85.2,61.5,15.5,8.2,15.0,12.0-22.0,NA,3.5,0.78,Metro_Station,Secant_Pile_Wall,20.0,Excavation_Unloading,4.5,NA,Moderate,265.0,5.2,0.68,125.0,No,Jet_Grouting,Base stability critical
CF009,Slope_Instability,Hunan_Railway,2019-03-08,Slope_Failure,Stiff_Clay,Illite,22.8,48.5,34.2,58.5,2.5,6.0,5.5-10.5,22.0,6.5,0.38,Railway_Embankment,Deep_Foundation,8.0,Vibration,8.5,NA,Moderate,165.0,2.3,0.28,NA,No,Reinforcement,Train-induced vibrations
CF010,Underground_Garage,Nanjing_Commercial,2019-08-22,Base_Heave,Soft_Clay,Montmorillonite-Illite,36.5,60.8,42.5,32.8,4.2,10.0,8.5-15.5,NA,2.8,0.55,Basement_Excavation,Sheet_Pile_Wall,12.0,Hydraulic_Uplift,3.2,NA,Moderate,195.0,3.5,0.44,95.0,No,Dewatering_Wells,Groundwater control inadequate
CF011,Retaining_Structure,Chongqing_Hillside,2019-12-15,Lateral_Movement,Medium_Clay,Illite-Montmorillonite,26.8,52.5,36.8,48.8,2.9,NA,NA,35.0,4.2,0.42,Retaining_Wall,Gravity_Wall,4.0,Earth_Pressure,1.8,5.2,Moderate,175.0,2.6,0.32,NA,No,Anchor_Installation,Excessive lateral pressure
