Site_ID,Location,Depth_to_Groundwater_m,Soil_Type,Depth_m,Hydraulic_Head_m,Total_Pore_Pressure_kPa,Hydrostatic_Pressure_kPa,Excess_Pore_Pressure_kPa,Pore_Pressure_Ratio,Permeability_m_s,Flow_Direction,Hydraulic_Gradient,Seepage_Velocity_m_day,Coefficient_of_Consolidation_m2_yr,Time_Factor,Degree_of_Consolidation_percent,Artesian_Condition,Seasonal_Variation_m,Remarks
GW001,Heihe_Basin,2.5,Sandy_Soil,5.0,2.8,49.0,24.5,24.5,0.42,4.2e-4,Downward,0.15,0.054,NA,NA,NA,No,1.2,Shallow groundwater table
GW002,Shanghai_Coast,1.5,Clay_Soil,8.0,2.2,88.2,63.7,24.5,0.51,1.2e-9,Upward,0.08,2.8e-6,1.25,0.45,68.5,Yes,0.8,Artesian pressure observed
GW003,Beijing_Suburban,3.5,Sandy_Soil,6.0,4.0,58.8,24.5,34.3,0.38,4.5e-4,Horizontal,0.12,0.047,NA,NA,NA,No,1.5,Confined aquifer present
GW004,Tianjin_Harbor,1.2,Clay_Soil,10.0,1.8,108.3,86.3,22.0,0.48,1.8e-9,Upward,0.10,5.2e-6,1.55,0.52,72.8,Yes,0.6,High pore pressure zone
GW005,Yangtze_Delta,2.0,Sandy_Soil,4.5,2.5,44.1,24.5,19.6,0.35,3.8e-4,Downward,0.18,0.059,NA,NA,NA,No,1.0,Seasonal fluctuation significant
GW006,Pearl_River_Delta,1.8,Clay_Soil,7.0,2.3,78.5,51.0,27.5,0.45,2.3e-9,Vertical,0.06,4.0e-6,1.85,0.38,62.5,No,0.9,Moderate sensitivity
GW007,Ningxia_Desert,8.5,Sandy_Soil,10.0,9.2,98.0,14.7,83.3,0.12,5.8e-4,Upward,0.04,0.020,NA,NA,NA,No,2.5,Deep groundwater table
GW008,Inner_Mongolia,5.5,Sandy_Soil,8.0,6.0,78.4,24.5,53.9,0.28,4.8e-4,Horizontal,0.09,0.037,NA,NA,NA,No,1.8,Regional flow system
GW009,Gansu_Corridor,4.2,Sandy_Soil,7.0,4.8,68.6,27.5,41.1,0.32,4.3e-4,Downward,0.14,0.052,NA,NA,NA,No,1.4,Mountain front recharge
GW010,Qinghai_Basin,6.8,Sandy_Soil,9.0,7.2,88.2,21.6,66.6,0.25,3.6e-4,Horizontal,0.08,0.025,NA,NA,NA,No,2.0,Arid region conditions
GW011,Guangdong_Delta,1.5,Clay_Soil,6.5,2.0,73.5,49.0,24.5,0.52,2.8e-9,Upward,0.09,7.2e-6,1.95,0.42,65.8,Yes,0.7,Coastal aquifer system
GW012,Liaoning_Coast,2.2,Sandy_Soil,5.5,2.8,53.9,32.4,21.5,0.40,3.5e-4,Downward,0.16,0.048,NA,NA,NA,No,1.1,Tidal influence noted
GW013,Jilin_Basin,3.0,Sandy_Soil,6.0,3.5,58.8,29.4,29.4,0.36,4.0e-4,Horizontal,0.13,0.045,NA,NA,NA,No,1.3,Agricultural drainage impact
GW014,Heilongjiang_Plain,2.8,Sandy_Soil,5.8,3.2,56.8,29.4,27.4,0.37,3.7e-4,Downward,0.15,0.048,NA,NA,NA,No,1.2,Seasonal freeze-thaw
GW015,Xinjiang_Tarim,12.5,Sandy_Soil,15.0,13.2,147.0,24.5,122.5,0.08,6.2e-4,Upward,0.02,0.011,NA,NA,NA,No,3.5,Very deep water table
GW016,Fujian_Coast,2.0,Sandy_Soil,4.8,2.5,47.0,27.5,19.5,0.38,3.9e-4,Horizontal,0.17,0.057,NA,NA,NA,No,1.0,Coastal plain setting
GW017,Hainan_Island,1.8,Sandy_Soil,4.5,2.3,44.1,26.5,17.6,0.40,3.4e-4,Downward,0.19,0.056,NA,NA,NA,No,0.8,Tropical climate influence
GW018,Yunnan_Valley,2.5,Sandy_Soil,5.2,3.0,51.0,26.5,24.5,0.35,5.0e-4,Horizontal,0.12,0.052,NA,NA,NA,No,1.5,Mountain valley aquifer
GW019,Guizhou_Basin,3.2,Sandy_Soil,6.0,3.8,58.8,27.5,31.3,0.33,3.2e-4,Downward,0.14,0.039,NA,NA,NA,No,1.4,Karst influence possible
GW020,Sichuan_Plain,2.5,Clay_Soil,7.5,3.0,83.3,49.0,34.3,0.50,2.6e-9,Upward,0.07,5.2e-6,2.05,0.48,70.5,No,1.0,Confined layer present
GW021,Shaanxi_Loess,4.5,Sandy_Soil,7.0,5.0,68.6,24.5,44.1,0.30,3.6e-4,Horizontal,0.11,0.034,NA,NA,NA,No,1.6,Loess plateau characteristics
GW022,Shanxi_Plateau,3.8,Sandy_Soil,6.5,4.3,63.7,26.5,37.2,0.32,4.2e-4,Downward,0.13,0.047,NA,NA,NA,No,1.5,Mining impact on water table
GW023,Hubei_Valley,2.2,Sandy_Soil,5.0,2.8,49.0,27.5,21.5,0.39,4.0e-4,Horizontal,0.16,0.055,NA,NA,NA,No,1.1,River valley aquifer
GW024,Hunan_Basin,2.5,Clay_Soil,6.8,3.0,76.4,42.2,34.2,0.48,3.1e-9,Upward,0.08,7.1e-6,2.15,0.45,67.5,No,1.0,Lake region influence
